Taxon,CRC_Unadjusted,CRC_Adjusted,CVD_Unadjusted,CVD_Adjusted,NAFLD_FLD_Unadjusted,NAFLD_FLD_Adjusted,Parkinsons_Unadjusted,Parkinsons_Adjusted,Polyps_Unadjusted,Polyps_Adjusted,T2D_Unadjusted,T2D_Adjusted
Faecalibacterium_prausnitzii,-0.3333322222259259,-0.3333322222259259,0.0,0.0,-0.333330000033333,-0.333330000033333,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.4999983333388889,-0.4999983333388889
Bacteroides_uniformis,0.111110000011111,0.111110000011111,-0.49999750001249993,-0.24999750002499976,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.19999800001999982,0.0,0.0
Odoribacter_splanchnicus,0.3333322222259259,0.3333322222259259,0.49999750001249993,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Fusicatenibacter_saccharivorans,-0.3333322222259259,-0.3333322222259259,-0.24999750002499976,-0.24999750002499976,0.0,0.0,-0.16666583333749996,-0.16666583333749996,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Coprococcus_catus,0.111110000011111,0.111110000011111,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0,0.08333291666874998,0.08333291666874998
Eubacterium_rectale,-0.3333322222259259,-0.3333322222259259,0.24999750002499976,0.24999750002499976,-0.333330000033333,-0.333330000033333,-0.6666633333499998,-0.6666633333499998,-0.19999800001999982,0.0,-0.3333316666749999,-0.1666650000166665
Oscillibacter_sp_57_20,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0
Eubacterium_ramulus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333291666874998,-0.08333291666874998
Agathobaculum_butyriciproducens,-0.111110000011111,-0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Roseburia_inulinivorans,0.111110000011111,0.0,-0.24999750002499976,0.0,-0.333330000033333,-0.333330000033333,-0.333330000033333,-0.6666633333499998,0.19999800001999982,0.19999800001999982,0.0,0.0
Ruminococcus_bromii,-0.05555527777916665,-0.05555527777916665,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Roseburia_intestinalis,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,-0.9999966666777778,-0.9999966666777778,0.19999800001999982,0.19999800001999982,-0.4999983333388889,-0.4999983333388889
Roseburia_hominis,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Eubacterium_eligens,-0.4444433333361111,-0.4444433333361111,-0.49999750001249993,-0.24999750002499976,-0.333330000033333,0.0,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.3333316666749999,-0.3333316666749999
Alistipes_shahii,0.111110000011111,0.111110000011111,0.0,0.0,-0.333330000033333,0.0,0.333330000033333,0.6666633333499998,0.0,0.0,0.0,0.0
Alistipes_putredinis,0.111110000011111,0.111110000011111,-0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333316666749999,-0.1666650000166665
Roseburia_faecis,-0.3333322222259259,-0.3333322222259259,0.0,0.24999750002499976,0.0,0.0,-0.6666633333499998,-0.6666633333499998,0.19999800001999982,0.19999800001999982,-0.1666650000166665,0.0
Parabacteroides_merdae,0.111110000011111,0.111110000011111,-0.24999750002499976,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,-0.1666650000166665
Eubacterium_ventriosum,-0.3333322222259259,-0.3333322222259259,0.0,0.24999750002499976,0.0,0.0,-0.333330000033333,-0.6666633333499998,-0.19999800001999982,-0.19999800001999982,0.0,0.0
Adlercreutzia_equolifaciens,-0.111110000011111,-0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Gemmiger_formicilis,-0.22222111111666662,-0.3333322222259259,0.49999750001249993,0.49999750001249993,0.333330000033333,0.333330000033333,0.0,0.0,0.19999800001999982,0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Parasutterella_excrementihominis,-0.05555527777916665,-0.05555527777916665,-0.49999750001249993,-0.12499937500312497,0.333330000033333,0.333330000033333,-0.333330000033333,-0.333330000033333,-0.19999800001999982,0.0,-0.3333316666749999,-0.3333316666749999
Bacteroides_vulgatus,0.111110000011111,0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,-0.333330000033333,-0.333330000033333,0.19999800001999982,0.0,0.0,0.1666650000166665
Eubacterium_hallii,-0.22222111111666662,-0.22222111111666662,-0.24999750002499976,-0.24999750002499976,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Butyricimonas_virosa,0.22222111111666662,0.22222111111666662,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.1666650000166665,0.3333316666749999
Bilophila_wadsworthia,0.22222111111666662,0.22222111111666662,0.0,0.0,0.333330000033333,0.333330000033333,0.333330000033333,0.333330000033333,0.0,0.0,0.4999983333388889,0.3333316666749999
Barnesiella_intestinihominis,0.111110000011111,0.111110000011111,-0.24999750002499976,-0.24999750002499976,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.08333291666874998,0.0
Bacteroides_xylanisolvens,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus_bicirculans,-0.3333322222259259,-0.14814765432263372,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.4999983333388889,-0.4999983333388889
Coprococcus_eutactus,-0.05555527777916665,-0.05555527777916665,0.0,0.0,-0.333330000033333,-0.333330000033333,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Asaccharobacter_celatus,-0.22222111111666662,-0.22222111111666662,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Alistipes_finegoldii,0.111110000011111,0.22222111111666662,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lachnospira_pectinoschiza,-0.3333322222259259,-0.3333322222259259,-0.49999750001249993,-0.49999750001249993,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.3333316666749999,-0.3333316666749999
Eubacterium_siraeum,0.0,0.0,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665
Firmicutes_bacterium_CAG_110,-0.22222111111666662,-0.05555527777916665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333291666874998,0.08333291666874998
Anaerostipes_hadrus,-0.22222111111666662,-0.22222111111666662,-0.24999750002499976,-0.24999750002499976,0.333330000033333,0.333330000033333,-0.6666633333499998,-0.6666633333499998,-0.19999800001999982,-0.19999800001999982,-0.3333316666749999,-0.3333316666749999
Bacteroides_dorei,0.0,0.0,0.0,0.24999750002499976,0.333330000033333,0.333330000033333,-0.333330000033333,-0.333330000033333,-0.19999800001999982,-0.19999800001999982,0.1666650000166665,0.1666650000166665
Lawsonibacter_asaccharolyticus,0.111110000011111,0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.19999800001999982,0.19999800001999982,0.0,0.0
Firmicutes_bacterium_CAG_170,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_cellulosilyticus,0.22222111111666662,0.22222111111666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665
Coprococcus_comes,-0.111110000011111,-0.111110000011111,0.49999750001249993,0.49999750001249993,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0,0.1666650000166665,0.1666650000166665
Bacteroides_thetaiotaomicron,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,-0.333330000033333,-0.333330000033333,-0.19999800001999982,-0.19999800001999982,0.0,0.0
Clostridium_leptum,0.111110000011111,0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.16666583333749996,0.16666583333749996,0.333330000033333,0.333330000033333,-0.19999800001999982,-0.19999800001999982,0.0,0.0
Dorea_formicigenerans,0.3333322222259259,0.22222111111666662,0.24999750002499976,0.24999750002499976,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0
Bacteroides_stercoris,0.0,0.0,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.19999800001999982,0.19999800001999982,0.3333316666749999,0.3333316666749999
Bacteroides_caccae,0.05555527777916665,0.05555527777916665,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.19999800001999982,0.39999800000999997,0.3333316666749999,0.3333316666749999
Firmicutes_bacterium_CAG_95,-0.22222111111666662,-0.22222111111666662,-0.49999750001249993,-0.24999750002499976,0.0,-0.333330000033333,0.0,0.0,0.0,0.0,0.0,0.0
Eubacterium_sp_CAG_38,-0.22222111111666662,-0.22222111111666662,-0.49999750001249993,-0.49999750001249993,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333316666749999,-0.1666650000166665
Bacteroides_plebeius,-0.111110000011111,-0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Dorea_longicatena,0.111110000011111,0.111110000011111,0.24999750002499976,0.49999750001249993,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,0.0
Parabacteroides_distasonis,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.333330000033333,0.0,0.0,0.3333316666749999,0.3333316666749999
Ruminococcus_lactaris,0.0,0.0,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,-0.3333316666749999,-0.3333316666749999
Blautia_obeum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscillibacter_sp_CAG_241,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.0
Bacteroides_ovatus,0.0,0.0,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,0.1666650000166665,0.1666650000166665
Methanobrevibacter_smithii,0.22222111111666662,0.22222111111666662,-0.24999750002499976,0.0,0.0,0.0,0.6666633333499998,0.333330000033333,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Ruminococcus_callidus,0.05555527777916665,0.05555527777916665,-0.24999750002499976,-0.24999750002499976,-0.333330000033333,-0.333330000033333,-0.333330000033333,-0.333330000033333,0.19999800001999982,0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Haemophilus_parainfluenzae,-0.111110000011111,-0.111110000011111,0.49999750001249993,0.49999750001249993,0.0,0.0,-0.9999966666777778,-0.9999966666777778,-0.19999800001999982,0.0,-0.3333316666749999,-0.1666650000166665
Bacteroides_massiliensis,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butyrivibrio_crossotus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.3333316666749999
Alistipes_onderdonkii,0.0,0.0,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Akkermansia_muciniphila,0.5555544444466667,0.5555544444466667,0.0,0.0,0.0,0.0,0.6666633333499998,0.6666633333499998,0.19999800001999982,0.19999800001999982,0.0,0.1666650000166665
Alistipes_indistinctus,0.3333322222259259,0.3333322222259259,-0.24999750002499976,0.0,-0.333330000033333,-0.333330000033333,0.333330000033333,0.333330000033333,0.0,0.0,0.3333316666749999,0.3333316666749999
Firmicutes_bacterium_CAG_83,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,0.0,0.0
Bifidobacterium_adolescentis,-0.111110000011111,-0.111110000011111,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.1666650000166665,0.0
Ruminococcus_torques,0.22222111111666662,0.22222111111666662,0.24999750002499976,0.24999750002499976,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,-0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Phascolarctobacterium_faecium,0.0,0.0,0.24999750002499976,0.24999750002499976,0.333330000033333,0.333330000033333,-0.333330000033333,-0.333330000033333,-0.19999800001999982,-0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Intestinimonas_butyriciproducens,0.3333322222259259,0.3333322222259259,0.0,0.0,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0
Phascolarctobacterium_succinatutens,0.0,0.0,-0.24999750002499976,-0.24999750002499976,-0.333330000033333,-0.333330000033333,0.0,0.0,0.19999800001999982,0.19999800001999982,0.0,0.0
Collinsella_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.1666650000166665
Clostridium_disporicum,0.0,0.0,0.0,-0.49999750001249993,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,-0.3333316666749999,-0.3333316666749999
Ruminococcus_sp_CAG_488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holdemania_filiformis,0.22222111111666662,0.22222111111666662,0.49999750001249993,0.49999750001249993,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.1666650000166665,0.1666650000166665
Firmicutes_bacterium_CAG_238,0.22222111111666662,0.22222111111666662,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.19999800001999982,0.19999800001999982,0.0,-0.1666650000166665
Bacteroides_eggerthii,0.0,0.0,0.0,0.0,0.333330000033333,0.0,-0.333330000033333,0.0,0.0,-0.19999800001999982,0.3333316666749999,0.3333316666749999
Bacteroides_coprocola,0.111110000011111,0.111110000011111,0.0,0.24999750002499976,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Bacteroides_intestinalis,0.0,0.0,-0.24999750002499976,-0.12499937500312497,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.19999800001999982,0.1666650000166665,0.1666650000166665
Olsenella_scatoligenes,0.0,0.0,0.0,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.3333316666749999,0.1666650000166665
Bifidobacterium_pseudocatenulatum,-0.05555527777916665,-0.05555527777916665,0.0,0.0,-0.333330000033333,-0.333330000033333,0.333330000033333,0.333330000033333,0.0,0.0,0.0,0.0
Clostridium_sp_CAG_58,0.3333322222259259,0.3333322222259259,0.24999750002499976,0.24999750002499976,0.0,0.0,0.333330000033333,0.333330000033333,0.19999800001999982,0.19999800001999982,0.0,0.0
Coprobacter_fastidiosus,0.0,0.0,0.24999750002499976,0.24999750002499976,-0.333330000033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butyricimonas_synergistica,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proteobacteria_bacterium_CAG_139,-0.111110000011111,-0.111110000011111,-0.24999750002499976,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Turicimonas_muris,-0.3333322222259259,-0.4444433333361111,-0.24999750002499976,-0.49999750001249993,0.0,0.0,0.0,0.0,0.0,-0.19999800001999982,-0.1666650000166665,-0.1666650000166665
Anaeromassilibacillus_sp_An250,0.111110000011111,0.111110000011111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Prevotella_stercorea,0.0,0.0,-0.49999750001249993,-0.49999750001249993,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0,-0.1666650000166665,-0.1666650000166665
Roseburia_sp_CAG_471,0.0,0.0,-0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.19999800001999982,0.0,0.0,0.0
Slackia_isoflavoniconvertens,0.0,0.0,0.24999750002499976,0.0,0.333330000033333,0.333330000033333,0.333330000033333,0.333330000033333,0.0,0.0,0.1666650000166665,0.0
Blautia_wexlerae,-0.22222111111666662,-0.22222111111666662,0.0,0.0,0.333330000033333,0.333330000033333,0.0,0.0,-0.19999800001999982,-0.19999800001999982,0.3333316666749999,0.3333316666749999
Holdemanella_biformis,0.0,0.0,0.0,0.0,0.0,0.0,-0.333330000033333,-0.333330000033333,0.0,0.0,0.0,0.0
Bifidobacterium_longum,-0.22222111111666662,-0.22222111111666662,0.49999750001249993,0.49999750001249993,0.333330000033333,0.333330000033333,0.333330000033333,0.333330000033333,-0.19999800001999982,-0.19999800001999982,0.3333316666749999,0.1666650000166665
Enterorhabdus_caecimuris,0.0,0.0,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.0
Paraprevotella_clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enorma_massiliensis,0.111110000011111,0.111110000011111,0.24999750002499976,0.24999750002499976,0.0,0.0,0.0,0.0,0.0,0.0,0.1666650000166665,0.1666650000166665
